series_rank,series_id,label,variant,source_log,segment_index,phase,split,eval_scope,metric,iteration,train_iters,consumed_samples,iter_ms,value
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,320,5000,327680,6333.9,4.46965
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,330,5000,337920,6505.7,4.406309
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,340,5000,348160,6458.2,4.36735
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,350,5000,358400,6323.6,4.319308
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,360,5000,368640,6390.9,4.276506
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,370,5000,378880,6381.8,4.240189
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,380,5000,389120,6068.3,4.217104
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,390,5000,399360,5702.3,4.172439
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,400,5000,409600,7376.9,4.148101
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,410,5000,419840,5669.4,4.203109
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,420,5000,430080,5703.3,4.133969
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,430,5000,440320,5692.6,4.099074
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,440,5000,450560,5707.8,4.074689
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,450,5000,460800,5693.8,4.069905
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,460,5000,471040,5702.4,4.016872
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,470,5000,481280,5683.7,3.996641
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,480,5000,491520,5680.4,4.002599
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,490,5000,501760,5692.5,3.970859
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,500,5000,512000,7306.9,3.960195
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,510,5000,522240,5689.0,3.976173
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,520,5000,532480,5688.4,3.929519
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,530,5000,542720,5690.6,3.900959
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,540,5000,552960,5883.2,3.902707
